Date,Open,High,Low,Close,Adj Close,Volume
2018-08-24,63.430000,63.790001,63.209999,63.660000,63.660000,27400
2018-08-27,64.940002,65.650002,64.800003,65.570000,65.570000,108000
2018-08-28,66.500000,66.550003,65.870003,65.930000,65.930000,45000
2018-08-29,65.599998,66.519997,65.570000,66.290001,66.290001,43500
2018-08-30,66.099998,66.250000,65.680000,65.849998,65.849998,30800
2018-08-31,65.199997,65.220001,64.250000,64.650002,64.650002,68600
2018-09-04,62.369999,63.000000,62.209999,63.000000,63.000000,70600
2018-09-05,63.320000,63.500000,63.029999,63.470001,63.470001,87000
2018-09-06,63.610001,63.849998,63.009998,63.259998,63.259998,32100
2018-09-07,62.790001,63.220001,62.610001,62.860001,62.860001,25200
2018-09-10,63.209999,63.360001,63.070000,63.310001,63.310001,39200
2018-09-11,62.450001,62.880001,62.380001,62.700001,62.700001,65700
2018-09-12,62.549999,63.439999,62.480000,63.160000,63.160000,65600
2018-09-13,64.660004,64.820000,64.320000,64.500000,64.500000,30700
2018-09-14,64.589996,65.080002,63.900002,64.180000,64.180000,42100
2018-09-17,64.650002,64.809998,64.360001,64.400002,64.400002,47300
2018-09-18,64.870003,65.360001,64.790001,65.199997,65.199997,44500
2018-09-19,65.370003,65.930000,65.370003,65.870003,65.870003,26300
2018-09-20,67.459999,67.760002,67.070000,67.680000,67.680000,56800
2018-09-21,67.949997,68.010002,67.529999,67.730003,67.730003,43000
2018-09-24,67.949997,68.010002,65.919998,65.949997,65.949997,41700
2018-09-25,64.400002,64.669998,63.980000,64.370003,64.370003,66400
2018-09-26,63.840000,64.760002,63.840000,64.290001,64.290001,53700
2018-09-27,64.339996,65.000000,64.320000,64.699997,64.699997,43000
2018-09-28,63.000000,63.369999,62.830002,63.029999,63.029999,76800
2018-10-01,63.650002,63.930000,63.299999,63.439999,63.439999,94700
2018-10-02,64.480003,65.000000,64.180000,64.540001,64.540001,49300
2018-10-03,65.150002,65.309998,64.449997,64.519997,64.519997,74100
2018-10-04,65.690002,65.739998,64.500000,64.720001,64.720001,52300
2018-10-05,64.239998,64.239998,63.520000,63.919998,63.919998,52600
2018-10-08,62.950001,63.099998,62.330002,62.910000,62.910000,62100
2018-10-09,62.080002,62.689999,61.689999,62.509998,62.509998,71300
2018-10-10,62.209999,62.209999,61.250000,61.410000,61.410000,73700
2018-10-11,61.590000,61.669998,60.299999,60.840000,60.840000,65600
2018-10-12,61.910000,62.029999,60.669998,61.470001,61.470001,51900
2018-10-15,61.380001,61.680000,61.090000,61.369999,61.369999,29900
2018-10-16,61.869999,62.000000,61.470001,61.849998,61.849998,33100
2018-10-17,60.939999,61.209999,60.430000,60.970001,60.970001,37900
2018-10-18,60.750000,61.000000,59.529999,59.939999,59.939999,96400
2018-10-19,57.610001,59.500000,57.549999,59.130001,59.130001,89200
2018-10-22,58.750000,58.930000,58.000000,58.150002,58.150002,236800
2018-10-23,58.209999,58.980000,57.439999,58.840000,58.840000,280400
2018-10-24,57.869999,57.950001,56.209999,56.259998,56.259998,358000
2018-10-25,58.080002,58.930000,57.650002,58.290001,58.290001,64900
2018-10-26,57.880001,59.090000,57.500000,58.750000,58.750000,102200
2018-10-29,61.009998,61.110001,58.599998,59.110001,59.110001,118400
2018-10-30,59.529999,59.650002,58.900002,59.459999,59.459999,47600
2018-10-31,59.330002,60.049999,59.090000,59.090000,59.090000,233800
2018-11-01,59.730000,60.290001,59.549999,60.000000,60.000000,55200
2018-11-02,61.709999,61.779999,60.240002,60.759998,60.759998,32300
2018-11-05,60.650002,60.810001,60.009998,60.230000,60.230000,47500
2018-11-06,59.820000,59.950001,59.540001,59.759998,59.759998,38500
2018-11-07,60.160000,60.299999,59.759998,60.299999,60.299999,72900
2018-11-08,59.220001,59.240002,58.180000,58.470001,58.470001,75600
2018-11-09,57.650002,57.750000,57.259998,57.570000,57.570000,46900
2018-11-12,57.020000,57.049999,56.259998,56.299999,56.299999,63700
2018-11-13,57.380001,58.750000,57.250000,58.369999,58.369999,54300
2018-11-14,60.169998,60.250000,58.160000,58.490002,58.490002,141400
2018-11-15,57.740002,58.450001,57.270000,58.330002,58.330002,110200
2018-11-16,57.650002,58.150002,57.349998,57.709999,57.709999,60700
